campaign_id,date,city,campaign_type,marketing_spend,target_category
1,2024-05-01,Nantes,discount,530,sorbet
2,2024-05-01,Paris,discount,480,ice_cream
3,2024-05-01,Toulouse,in_store_promo,590,ice_cream
4,2024-05-02,Marseille,social_ads,1310,all
5,2024-05-03,Bordeaux,flyers,220,ice_cream
6,2024-05-05,Lille,in_store_promo,240,sorbet
7,2024-05-05,Lyon,social_ads,550,sorbet
8,2024-05-05,Nice,flyers,200,cold_drink
9,2024-05-08,Nantes,discount,520,cold_drink
10,2024-05-09,Paris,flyers,430,cold_drink
11,2024-05-10,Marseille,social_ads,940,ice_cream
12,2024-05-10,Toulouse,in_store_promo,450,ice_cream
13,2024-05-12,Lille,in_store_promo,250,ice_cream
14,2024-05-13,Bordeaux,discount,670,sorbet
15,2024-05-13,Lyon,social_ads,960,ice_cream
16,2024-05-13,Nice,flyers,250,ice_cream
17,2024-05-16,Nantes,flyers,370,cold_drink
18,2024-05-16,Paris,social_ads,400,ice_cream
19,2024-05-18,Toulouse,social_ads,340,hot_drink
20,2024-05-19,Marseille,in_store_promo,380,sorbet
21,2024-05-20,Lille,social_ads,1000,all
22,2024-05-21,Bordeaux,discount,610,cold_drink
23,2024-05-21,Lyon,flyers,290,all
24,2024-05-21,Nice,discount,740,ice_cream
25,2024-05-23,Nantes,discount,590,all
26,2024-05-24,Paris,discount,820,cold_drink
27,2024-05-25,Toulouse,social_ads,1100,sorbet
28,2024-05-27,Lille,social_ads,900,sorbet
29,2024-05-27,Marseille,social_ads,1100,ice_cream
30,2024-05-28,Lyon,in_store_promo,250,sorbet
31,2024-05-28,Nice,social_ads,990,all
32,2024-05-30,Nantes,in_store_promo,330,cold_drink
33,2024-05-31,Bordeaux,social_ads,430,all
34,2024-06-01,Paris,flyers,360,cold_drink
35,2024-06-03,Marseille,social_ads,410,sorbet
36,2024-06-03,Toulouse,social_ads,420,hot_drink
37,2024-06-05,Lille,in_store_promo,500,ice_cream
38,2024-06-05,Lyon,in_store_promo,500,cold_drink
39,2024-06-07,Bordeaux,social_ads,1180,ice_cream
40,2024-06-07,Nice,social_ads,970,ice_cream
41,2024-06-09,Nantes,discount,290,ice_cream
42,2024-06-09,Paris,social_ads,1190,ice_cream
43,2024-06-12,Marseille,in_store_promo,600,all
44,2024-06-13,Lille,discount,560,ice_cream
45,2024-06-13,Lyon,flyers,380,sorbet
46,2024-06-13,Toulouse,in_store_promo,220,ice_cream
47,2024-06-14,Bordeaux,discount,710,ice_cream
48,2024-06-14,Nice,in_store_promo,450,all
49,2024-06-16,Paris,flyers,370,ice_cream
50,2024-06-18,Nantes,discount,360,ice_cream
51,2024-06-19,Marseille,discount,330,cold_drink
52,2024-06-21,Lyon,discount,820,ice_cream
53,2024-06-22,Bordeaux,social_ads,560,ice_cream
54,2024-06-22,Nice,discount,950,all
55,2024-06-23,Lille,social_ads,370,cold_drink
56,2024-06-23,Toulouse,discount,900,all
57,2024-06-25,Paris,discount,590,ice_cream
58,2024-06-26,Marseille,flyers,420,cold_drink
59,2024-06-27,Nantes,flyers,450,all
60,2024-06-29,Bordeaux,social_ads,940,all
61,2024-06-29,Nice,social_ads,590,all
62,2024-06-30,Lille,social_ads,400,hot_drink
63,2024-06-30,Lyon,flyers,450,sorbet
64,2024-07-02,Paris,discount,600,ice_cream
65,2024-07-02,Toulouse,social_ads,770,all
66,2024-07-04,Marseille,discount,810,sorbet
67,2024-07-05,Nantes,in_store_promo,360,hot_drink
68,2024-07-06,Bordeaux,flyers,160,cold_drink
69,2024-07-07,Lille,social_ads,440,sorbet
70,2024-07-07,Nice,in_store_promo,500,cold_drink
71,2024-07-09,Toulouse,flyers,310,ice_cream
72,2024-07-10,Lyon,social_ads,440,hot_drink
73,2024-07-11,Paris,in_store_promo,310,cold_drink
74,2024-07-12,Marseille,discount,790,all
75,2024-07-13,Bordeaux,in_store_promo,500,all
76,2024-07-15,Nantes,discount,590,cold_drink
77,2024-07-16,Lille,in_store_promo,680,all
78,2024-07-17,Nice,social_ads,820,cold_drink
79,2024-07-19,Toulouse,social_ads,870,cold_drink
80,2024-07-20,Lyon,discount,360,ice_cream
81,2024-07-20,Marseille,flyers,340,sorbet
82,2024-07-21,Paris,discount,890,ice_cream
83,2024-07-23,Bordeaux,social_ads,450,all
84,2024-07-24,Lille,social_ads,610,cold_drink
85,2024-07-25,Nantes,in_store_promo,550,all
86,2024-07-27,Nice,in_store_promo,340,cold_drink
87,2024-07-27,Toulouse,discount,640,cold_drink
88,2024-07-28,Lyon,social_ads,730,cold_drink
89,2024-07-30,Marseille,in_store_promo,430,sorbet
90,2024-07-30,Paris,social_ads,350,cold_drink
91,2024-07-31,Lille,flyers,200,cold_drink
92,2024-08-02,Bordeaux,discount,720,sorbet
93,2024-08-02,Nantes,flyers,170,ice_cream
94,2024-08-04,Lyon,social_ads,780,cold_drink
95,2024-08-04,Toulouse,social_ads,860,ice_cream
96,2024-08-06,Nice,social_ads,1160,cold_drink
97,2024-08-07,Marseille,discount,820,ice_cream
98,2024-08-07,Paris,flyers,270,hot_drink
99,2024-08-08,Lille,discount,900,all
100,2024-08-11,Bordeaux,social_ads,1290,all
101,2024-08-11,Toulouse,social_ads,1100,ice_cream
102,2024-08-12,Nantes,discount,720,cold_drink
103,2024-08-13,Lyon,in_store_promo,270,all
104,2024-08-14,Paris,social_ads,1150,sorbet
105,2024-08-15,Marseille,social_ads,1020,ice_cream
106,2024-08-15,Nice,flyers,270,sorbet
107,2024-08-17,Lille,discount,600,ice_cream
108,2024-08-20,Toulouse,social_ads,520,sorbet
109,2024-08-21,Bordeaux,discount,310,ice_cream
110,2024-08-21,Nantes,social_ads,530,cold_drink
111,2024-08-22,Lyon,flyers,300,sorbet
112,2024-08-22,Marseille,discount,660,all
113,2024-08-23,Paris,discount,520,sorbet
114,2024-08-24,Nice,social_ads,540,cold_drink
