sale_id,date,store_id,product_id,quantity_sold,unit_price,revenue
1,2024-05-01,1,102,1,4.0,4.0
2,2024-05-01,1,101,1,3.8,3.8
3,2024-05-01,1,106,1,3.2,3.2
4,2024-05-01,1,101,1,3.8,3.8
5,2024-05-01,1,104,1,4.2,4.2
6,2024-05-01,1,108,1,4.5,4.5
7,2024-05-01,1,103,1,3.9,3.9
8,2024-05-01,2,106,1,3.2,3.2
9,2024-05-01,2,101,1,3.8,3.8
10,2024-05-01,2,106,1,3.2,3.2
11,2024-05-01,2,102,1,4.0,4.0
12,2024-05-01,2,108,1,4.5,4.5
13,2024-05-01,2,102,1,4.0,4.0
14,2024-05-01,2,103,1,3.9,3.9
15,2024-05-01,3,108,1,4.5,4.5
16,2024-05-01,3,107,3,3.5,10.5
17,2024-05-01,3,106,1,3.2,3.2
18,2024-05-01,3,105,1,4.1,4.1
19,2024-05-01,3,105,1,4.1,4.1
20,2024-05-01,3,106,1,3.2,3.2
21,2024-05-01,3,103,1,3.9,3.9
22,2024-05-01,3,105,3,4.1,12.3
23,2024-05-01,3,108,1,4.5,4.5
24,2024-05-01,4,106,1,3.2,3.2
25,2024-05-01,4,102,1,4.0,4.0
26,2024-05-01,4,103,2,3.9,7.8
27,2024-05-01,4,103,1,3.9,3.9
28,2024-05-01,4,108,1,4.5,4.5
29,2024-05-01,4,101,1,3.8,3.8
30,2024-05-01,4,105,2,4.1,8.2
31,2024-05-01,4,104,3,4.2,12.6
32,2024-05-01,4,102,1,4.0,4.0
33,2024-05-01,5,106,1,3.2,3.2
34,2024-05-01,5,107,1,3.5,3.5
35,2024-05-01,5,105,1,4.1,4.1
36,2024-05-01,5,109,1,2.2,2.2
37,2024-05-01,5,103,2,3.9,7.8
38,2024-05-01,5,107,1,3.5,3.5
39,2024-05-01,5,105,1,4.1,4.1
40,2024-05-01,6,109,1,2.2,2.2
41,2024-05-01,6,103,1,3.9,3.9
42,2024-05-01,6,108,1,4.5,4.5
43,2024-05-01,6,104,1,4.2,4.2
44,2024-05-01,6,108,2,4.5,9.0
45,2024-05-01,6,107,1,3.5,3.5
46,2024-05-01,6,110,1,3.4,3.4
47,2024-05-01,6,103,2,3.9,7.8
48,2024-05-01,6,102,2,4.0,8.0
49,2024-05-01,7,102,2,4.0,8.0
50,2024-05-01,7,103,2,3.9,7.8
51,2024-05-01,7,104,2,4.2,8.4
52,2024-05-01,7,108,1,4.5,4.5
53,2024-05-01,7,103,1,3.9,3.9
54,2024-05-01,7,105,1,4.1,4.1
55,2024-05-01,7,102,1,4.0,4.0
56,2024-05-01,7,108,1,4.5,4.5
57,2024-05-01,8,106,1,3.2,3.2
58,2024-05-01,8,110,1,3.4,3.4
59,2024-05-01,8,103,1,3.9,3.9
60,2024-05-01,8,105,1,4.1,4.1
61,2024-05-01,8,105,1,4.1,4.1
62,2024-05-01,8,102,1,4.0,4.0
63,2024-05-01,8,104,1,4.2,4.2
64,2024-05-01,9,103,1,3.9,3.9
65,2024-05-01,9,106,1,3.2,3.2
66,2024-05-01,9,104,1,4.2,4.2
67,2024-05-01,9,101,2,3.8,7.6
68,2024-05-01,9,103,1,3.9,3.9
69,2024-05-01,9,108,2,4.5,9.0
70,2024-05-01,9,109,1,2.2,2.2
71,2024-05-01,10,105,2,4.1,8.2
72,2024-05-01,10,101,3,3.8,11.4
73,2024-05-01,10,102,1,4.0,4.0
74,2024-05-01,10,108,3,4.5,13.5
75,2024-05-01,10,108,1,4.5,4.5
76,2024-05-01,10,101,3,3.8,11.4
77,2024-05-01,10,108,1,4.5,4.5
78,2024-05-01,10,101,1,3.8,3.8
79,2024-05-01,10,104,1,4.2,4.2
80,2024-05-01,10,104,1,4.2,4.2
81,2024-05-01,11,106,1,3.2,3.2
82,2024-05-01,11,109,1,2.2,2.2
83,2024-05-01,11,101,1,3.8,3.8
84,2024-05-01,11,108,1,4.5,4.5
85,2024-05-01,11,103,1,3.9,3.9
86,2024-05-01,11,102,1,4.0,4.0
87,2024-05-01,11,107,1,3.5,3.5
88,2024-05-01,12,103,3,3.9,11.7
89,2024-05-01,12,109,1,2.2,2.2
90,2024-05-01,12,104,2,4.2,8.4
